Progress,Finished,ResponseId,position,faculty,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_12,familiarity_5,familiarity_6,familiarity_7,familiarity_8,familiarity_9,familiarity_10,familiarity_11,familiarity_13,stimulate_1,stimulate_2,stimulate_3,stimulate_4,stimulate_12,stimulate_5,stimulate_6,stimulate_7,stimulate_8,stimulate_9,stimulate_10,stimulate_11,stimulate_13,implement_1,implement_2,implement_3,implement_4,implement_12,implement_5,implement_6,implement_7,implement_8,implement_9,implement_10,implement_11,implement_13,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,motivation_7,motivation_9,motivation_10,motivation_11,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,more_OS_1,more_OS_2,more_OS_3,more_OS_4,more_OS_5,more_OS_6,more_OS_7,practices_other_1,practices_other_2,practices_other_3,practices_other_4,practices_other_12,practices_other_5,practices_other_6,practices_other_7,practices_other_8,practices_other_9,practices_other_10,practices_other_11,practices_other_13,wave,Duration
100,TRUE,R_3oWUjad2ZMRmMr9,Full Professor,Science,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,NA,Reproducibility,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",NA,NA,NA,NA,NA,NA,NA,NA,NA,I experience no barriers in practicing Open Science,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows that make it easy to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,227
100,TRUE,R_2dLRtzDYpvw0ZC6,PhD candidate,Governance and Global Affairs,Open Access,Open Data,FAIR Data,NA,NA,NA,Open Peer Review,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,NA,NA,Open Software / code,NA,Open Peer Review,NA,NA,NA,Science Communication,NA,NA,NA,NA,Required by University policy,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,166
100,TRUE,R_3iF6V5sRNUENgOv,Organisational Professional / Support Staff,Social and Behavioural Sciences,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,FAIR Data,NA,NA,NA,Open Peer Review,NA,NA,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,2023,327
100,TRUE,R_XttERfPxW2HRt17,Assistant Professor,Humanities,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,More policies that make Open Science practices required,More incentives that reward Open Science practices,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,444
100,TRUE,R_24PnCJDAWx9wGge,Organisational Professional / Support Staff,Administrative / library / central,Open Access,Open Data,NA,Reproducibility,Open Software / code / syntax,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,NA,Open Data,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,FAIR Data,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,170
100,TRUE,R_2yrBhwnb7I7Ifzo,Assistant Professor,Governance and Global Affairs,NA,Open Data,NA,Reproducibility,NA,NA,NA,Citizen Science,NA,NA,NA,NA,NA,Open Access,NA,FAIR Data,NA,NA,NA,NA,Citizen Science,NA,NA,NA,NA,NA,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Required by funder policy,NA,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I work with data that is sensitive / cannot be anonymised,NA,NA,NA,NA,NA,NA,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,261
100,TRUE,R_2rIza9fTPWxN8pX,Organisational Professional / Support Staff,Science,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,NA,Science Communication,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,NA,Open Software / code,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,2023,588
100,TRUE,R_3fdveCvl1aLnu4j,Assistant Professor,Governance and Global Affairs,Open Access,NA,NA,NA,NA,Open Education,NA,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,Reproducibility,NA,NA,NA,Citizen Science,NA,NA,Science Communication,NA,NA,NA,NA,NA,Reproducibility,NA,NA,NA,NA,Preprints,NA,Science Communication,NA,NA,NA,Required by journal policy,NA,It increases the impact of my research,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,148
100,TRUE,R_yjtKawbCstxOUMx,Organisational Professional / Support Staff,Administrative / library / central,Open Access,Open Data,FAIR Data,Reproducibility,NA,Open Education,Open Peer Review,NA,Preprints,NA,NA,NA,NA,Open Access,NA,FAIR Data,NA,NA,Open Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,NA,NA,Open Education,NA,NA,NA,NA,NA,NA,NA,2023,515
100,TRUE,R_1hLojOZtszqETtY,Assistant Professor,Law,Open Access,Open Data,NA,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,Science Communication,NA,Other,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,Preregistration/Registered report,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,NA,NA,NA,NA,Preprints,Preregistration/Registered report,NA,NA,Other,NA,Required by journal policy,NA,NA,I think it is an important part of research,NA,It is common practice amongst my collaborators from outside of my institute,NA,NA,NA,NA,NA,NA,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,NA,Better interfaces/workflows that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,111
