qname,question,options
Q29,I agree to openly sharing my anonymised data:,NA
position,Your (main) position:<br>,NA
faculty,Your faculty / center:,NA
2025_new_q_other,"You have selected 'Other' as type of position, please choose how you would like to answer the remaining questions of this survey:",NA
familiarity,"With which of the following Open Science practices are you familiar?<br />
<span style=""font-size: 16px;"">By familiar, we mean that you could broadly explain what the practice entails. You do not need to have implemented this practice yourself.</span>","Open Access;Open Data;FAIR Data;Reproducibility;Open Software / code / syntax;Open Education;Open Peer Review;Citizen Science;Preprints;Preregistration/Registered report;Science Communication;Not familiar with any;Other, namely:"
stimulate,"In your opinion, which of the following Open Science practices are the most important to stimulate (pick maximum of 3)?<br><br>","Open Access;Open Data;FAIR Data;Reproducibility;Open Software / code / syntax;Open Education;Open Peer Review;Citizen Science;Preprints;Preregistration/Registered report;Science Communication;Not familiar with any;Other, namely:"
implement,Which Open Science practices have you implemented in your research and/or teaching?,"Open Access;Open Data;FAIR Data;Reproducibility;Open Software / code / syntax;Open Education;Open Peer Review;Citizen Science;Preprints;Preregistration/Registered report;Science Communication;I'm not practicing Open Science (yet);Other, namely:"
motivation,"What are your main motivations for implementing Open Science?<br />
<span style=""font-size: 16px;"">Please pick max. of 3</span>","Required by funder policy;Required by journal policy;Required by University policy;It increases the impact of my research;I think it is an important part of research;It is common practice in amongst my colleagues from my institute;It is common practice amongst my collaborators from outside of my institute;It looks good on my CV;Required by my supervisor(s);Other, namely"
barriers,"What are your main barriers to practicing (more) Open Science?<br />
<span style=""font-size: 16px;"">Please pick max. of 3</span>","Lack of information/knowledge about the what and why of Open Science;Lack of training on how to practice Open Science;Lack of funding for Open Science practices;Lack of clarity about ethical issues (e.g. data sharing);Lack of time;Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution;Lack of positive examples / approaches set by other researchers;I work with data that is sensitive / cannot be anonymised;Lack of recognition in my (international) field about the value of Open Science practices;I experience no barriers in practicing Open Science;I experience no barriers because I don't want to practice Open Science;Other, namely:"
more_OS,Which of the following would help you in practicing more Open Science?,"More policies that make Open Science practices required;More incentives that reward Open Science practices;More collaboration/engagement with peers to make norms about good practices visible;Better interfaces/workflows/tutorials that make it easy to practice Open Science;More supporting infrastructure that makes it possible to practice Open Science;I do not plan to practice Open Science;Other, namely:"
2025_promote_OS,Do you promote Open Science to your colleagues or give them support in implementing it?,NA
RR,Do you get recognized and/or rewarded for your Open Science practices?,NA
RR_alternative_pubs,"Would you be interested in publishing more 'alternative outputs' or diverse 'intermediate outputs' in the scientific process (e.g., blogs, protocols, grant applications, notebooks, peer reviews), if these publications were recognized and/or rewarded similarly to research publications? ",NA
RR_OER,"Would you be interested in developing and publishing Open Educational Resources (e.g., open textbooks), if these publications were recognized and/or rewarded similarly to research publications? ",NA
new2025_methods,What type of <strong>methods</strong> do you <strong>mostly</strong> use in your research and/or in your teaching activities?,NA
practices_other,Which Open Science practices have you dealt with in a policy-making or research-support situation?,"Open Access;Open Data;FAIR Data;Reproducibility;Open Software / code;Open Education;Open Peer Review;Citizen Science;Preprints;Preregistration/Registered report;Science Communication;I'm not dealing with Open Science (yet);Other, namely:"
